approval_id,stock_code,category,request_type,value_gbp,requested_date,status,requested_by
APR-4000,P-01022,Plant,Auction Disposal,13174.43,2026-05-22,Pending,Workshop Controller
APR-4001,P-01029,Plant,Auction Disposal,13457.42,2026-03-16,Pending,Workshop Controller
APR-4002,P-01032,Plant,Auction Disposal,21221.84,2026-04-09,Approved,Depot Manager - Manchester
APR-4003,P-01044,Plant,Auction Disposal,16575.16,2026-01-31,Pending,Depot Manager - London North
APR-4004,PA-01091,Powered Access,Auction Disposal,21791.72,2025-11-21,Approved,Workshop Controller
APR-4005,PA-01134,Powered Access,Auction Disposal,4138.23,2025-12-21,Pending,Depot Manager - Manchester
APR-4006,PA-01166,Powered Access,Auction Disposal,1461.1,2026-04-24,Approved,Workshop Controller
APR-4007,B&D-01186,Breakers & Drills,Auction Disposal,16696.91,2025-11-11,Approved,Workshop Controller
APR-4008,B&D-01197,Breakers & Drills,Auction Disposal,7049.36,2026-02-21,Approved,Workshop Controller
APR-4009,B&D-01203,Breakers & Drills,Auction Disposal,545.87,2026-06-16,Approved,Depot Manager - Manchester
APR-4010,B&D-01212,Breakers & Drills,Auction Disposal,19512.41,2026-07-06,Approved,Depot Manager - London North
APR-4011,B&D-01220,Breakers & Drills,Auction Disposal,9284.71,2026-06-10,Approved,Depot Manager - London North
APR-4012,B&D-01223,Breakers & Drills,Auction Disposal,4117.79,2026-01-01,Approved,Workshop Controller
APR-4013,B&D-01256,Breakers & Drills,Auction Disposal,1942.93,2026-02-14,Approved,Depot Manager - London North
APR-4014,B&D-01257,Breakers & Drills,Auction Disposal,21517.62,2026-03-18,Approved,Depot Manager - Manchester
APR-4015,B&D-01266,Breakers & Drills,Auction Disposal,16978.75,2026-03-03,Approved,Workshop Controller
APR-4016,B&D-01269,Breakers & Drills,Auction Disposal,1851.6,2026-06-14,Approved,Depot Manager - Birmingham
APR-4017,B&D-01290,Breakers & Drills,Auction Disposal,15082.72,2026-04-18,Pending,Depot Manager - Manchester
APR-4018,B&D-01305,Breakers & Drills,Auction Disposal,8786.24,2026-03-04,Approved,Depot Manager - Birmingham
APR-4019,B&D-01325,Breakers & Drills,Auction Disposal,12440.61,2026-06-16,Approved,Depot Manager - London North
APR-4020,B&D-01327,Breakers & Drills,Auction Disposal,20222.67,2026-04-11,Approved,Depot Manager - Manchester
APR-4021,B&D-01335,Breakers & Drills,Auction Disposal,16746.49,2025-12-16,Approved,Workshop Controller
APR-4022,B&D-01345,Breakers & Drills,Auction Disposal,18477.62,2025-11-27,Approved,Workshop Controller
APR-4023,B&D-01354,Breakers & Drills,Auction Disposal,10018.57,2026-04-17,Pending,Workshop Controller
APR-4024,B&D-01360,Breakers & Drills,Auction Disposal,18774.89,2026-01-25,Pending,Depot Manager - Manchester
APR-4025,B&D-01371,Breakers & Drills,Auction Disposal,11722.05,2025-11-22,Approved,Depot Manager - Birmingham
APR-4026,B&D-01409,Breakers & Drills,Auction Disposal,21629.43,2025-11-11,Approved,Depot Manager - Birmingham
APR-4027,B&D-01415,Breakers & Drills,Auction Disposal,16561.31,2026-01-02,Approved,Workshop Controller
APR-4028,B&D-01425,Breakers & Drills,Auction Disposal,3856.54,2025-12-06,Approved,Depot Manager - London North
APR-4029,B&D-01429,Breakers & Drills,Auction Disposal,11419.91,2026-06-07,Pending,Depot Manager - Manchester
APR-4030,B&D-01432,Breakers & Drills,Auction Disposal,18349.05,2026-04-05,Approved,Depot Manager - Birmingham
APR-4031,MH&-01460,Material Handling & Logistics,Auction Disposal,11724.52,2026-03-26,Rejected,Depot Manager - London North
APR-4032,MH&-01467,Material Handling & Logistics,Auction Disposal,12537.92,2025-12-22,Approved,Depot Manager - Birmingham
APR-4033,MH&-01480,Material Handling & Logistics,Auction Disposal,19891.1,2025-11-22,Pending,Depot Manager - Birmingham
APR-4034,MH&-01519,Material Handling & Logistics,Auction Disposal,2140.19,2026-04-15,Pending,Workshop Controller
APR-4035,MH&-01528,Material Handling & Logistics,Auction Disposal,11628.17,2025-12-27,Approved,Workshop Controller
APR-4036,MH&-01542,Material Handling & Logistics,Auction Disposal,9826.91,2025-11-22,Approved,Depot Manager - London North
APR-4037,MH&-01563,Material Handling & Logistics,Auction Disposal,20352.31,2026-01-14,Pending,Depot Manager - Birmingham
APR-4038,MH&-01564,Material Handling & Logistics,Auction Disposal,17622.01,2026-01-22,Approved,Depot Manager - Birmingham
APR-4039,MH&-01581,Material Handling & Logistics,Auction Disposal,6192.39,2026-05-02,Approved,Workshop Controller
APR-4040,MH&-01622,Material Handling & Logistics,Auction Disposal,666.28,2026-04-01,Pending,Workshop Controller
APR-4041,MH&-01638,Material Handling & Logistics,Auction Disposal,14808.67,2025-12-22,Pending,Depot Manager - Birmingham
APR-4042,MH&-01665,Material Handling & Logistics,Auction Disposal,3879.08,2025-12-14,Approved,Depot Manager - Birmingham
APR-4043,MH&-01666,Material Handling & Logistics,Auction Disposal,17649.25,2025-12-04,Approved,Workshop Controller
APR-4044,MH&-01674,Material Handling & Logistics,Auction Disposal,16423.75,2026-06-20,Pending,Workshop Controller
APR-4045,MH&-01688,Material Handling & Logistics,Auction Disposal,9449.19,2025-12-15,Pending,Depot Manager - Birmingham
