date,depot,category,fleet_units,units_on_hire,units_in_workshop,units_available,utilisation_pct,workshop_pct
2025-07-15,London North,Plant,11,7,2,2,63.6,18.2
2025-07-15,London North,Powered Access,17,13,4,0,76.5,23.5
2025-07-15,London North,Breakers & Drills,52,39,11,2,75.0,21.2
2025-07-15,London North,Material Handling & Logistics,40,36,9,0,90.0,22.5
2025-07-15,London North,Lifting Equipment,31,22,7,2,71.0,22.6
2025-07-15,London North,"Accommodation, Storage & Welfare",14,9,3,2,64.3,21.4
2025-07-15,London North,Cutting & Grinding,30,22,7,1,73.3,23.3
2025-07-15,London North,Access,3,1,1,1,33.3,33.3
2025-07-15,London North,Cleaning,7,5,2,0,71.4,28.6
2025-07-15,London North,Sanding & Woodworking,10,7,3,0,70.0,30.0
2025-07-15,London North,Landscaping & Gardening,2,2,0,0,100.0,0.0
2025-07-15,London North,Mechanical & Electrical,6,4,1,1,66.7,16.7
2025-07-15,London North,Painting & Decorating,1,1,0,0,100.0,0.0
2025-07-15,London North,Consumables,4,3,1,0,75.0,25.0
2025-07-15,London North,"Safety, Ventilation & Extraction",1,1,0,0,100.0,0.0
2025-07-15,London North,Propping & Support,1,1,0,0,100.0,0.0
2025-07-15,London North,Lighting,5,2,1,2,40.0,20.0
2025-07-15,London North,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-07-15,London North,Fixing & Fastening,7,4,1,2,57.1,14.3
2025-07-15,London North,Concreting & Compaction,3,2,1,0,66.7,33.3
2025-07-15,London North,Fuel & Gas,1,1,0,0,100.0,0.0
2025-07-15,London North,Survey & Location,5,3,1,1,60.0,20.0
2025-07-15,London North,Site Equipment & Groundworks,4,3,1,0,75.0,25.0
2025-07-15,London North,Power & Electrics,4,3,1,0,75.0,25.0
2025-07-15,London South,Plant,11,5,3,3,45.5,27.3
2025-07-15,London South,Powered Access,12,8,3,1,66.7,25.0
2025-07-15,London South,Breakers & Drills,45,33,10,2,73.3,22.2
2025-07-15,London South,Material Handling & Logistics,37,22,9,6,59.5,24.3
2025-07-15,London South,Lifting Equipment,33,21,7,5,63.6,21.2
2025-07-15,London South,"Accommodation, Storage & Welfare",8,5,2,1,62.5,25.0
2025-07-15,London South,Cutting & Grinding,36,27,9,0,75.0,25.0
2025-07-15,London South,Access,5,3,1,1,60.0,20.0
2025-07-15,London South,Cleaning,12,7,3,2,58.3,25.0
2025-07-15,London South,Sanding & Woodworking,9,5,2,2,55.6,22.2
2025-07-15,London South,Landscaping & Gardening,3,2,1,0,66.7,33.3
2025-07-15,London South,Mechanical & Electrical,8,4,2,2,50.0,25.0
