order_id,category
ORD-6001,Fuel & Gas
ORD-6001,Climate Control
ORD-6002,Lighting
ORD-6002,Powered Access
ORD-6003,Sanding & Woodworking
ORD-6004,Access
ORD-6004,Lifting Equipment
ORD-6004,Powered Access
ORD-6005,Lighting
ORD-6005,"Accommodation, Storage & Welfare"
ORD-6005,Fencing & Barriers
ORD-6005,Power & Electrics
ORD-6006,Fixing & Fastening
ORD-6006,Breakers & Drills
ORD-6006,Sanding & Woodworking
ORD-6007,Cleaning
ORD-6007,Painting & Decorating
ORD-6007,Sanding & Woodworking
ORD-6008,Material Handling & Logistics
ORD-6008,Lifting Equipment
ORD-6008,Mechanical & Electrical
ORD-6009,Survey & Location
ORD-6009,Concreting & Compaction
ORD-6010,Breakers & Drills
ORD-6010,"Safety, Ventilation & Extraction"
ORD-6010,Material Handling & Logistics
ORD-6011,Fixing & Fastening
ORD-6011,Breakers & Drills
ORD-6011,"Safety, Ventilation & Extraction"
ORD-6012,Concreting & Compaction
ORD-6012,Site Equipment & Groundworks
ORD-6013,Power & Electrics
ORD-6013,Lighting
ORD-6014,Mechanical & Electrical
ORD-6014,Fixing & Fastening
ORD-6015,Lifting Equipment
ORD-6015,Material Handling & Logistics
ORD-6016,"Accommodation, Storage & Welfare"
ORD-6016,Lighting
ORD-6017,Fencing & Barriers
ORD-6017,Lighting
ORD-6017,Power & Electrics
ORD-6018,Lighting
ORD-6018,Power & Electrics
ORD-6018,"Accommodation, Storage & Welfare"
ORD-6018,Fencing & Barriers
ORD-6018,Powered Access
ORD-6019,Site Equipment & Groundworks
ORD-6019,Plant
ORD-6019,Survey & Location
ORD-6020,Landscaping & Gardening
ORD-6020,Fuel & Gas
ORD-6020,Climate Control
ORD-6021,Concreting & Compaction
ORD-6021,Survey & Location
ORD-6021,Site Equipment & Groundworks
ORD-6022,Lighting
ORD-6023,Material Handling & Logistics
ORD-6023,Lifting Equipment
ORD-6024,Site Equipment & Groundworks
ORD-6024,Concreting & Compaction
ORD-6024,Survey & Location
ORD-6024,Climate Control
ORD-6025,Lighting
ORD-6025,"Accommodation, Storage & Welfare"
ORD-6026,Sanding & Woodworking
ORD-6026,Cleaning
ORD-6027,Fixing & Fastening
ORD-6027,Breakers & Drills
ORD-6027,Mechanical & Electrical
ORD-6027,Plant
ORD-6028,Site Equipment & Groundworks
ORD-6028,Survey & Location
ORD-6028,Concreting & Compaction
ORD-6028,Plant
ORD-6029,Cutting & Grinding
ORD-6029,Breakers & Drills
ORD-6029,Propping & Support
ORD-6029,"Safety, Ventilation & Extraction"
ORD-6030,Powered Access
ORD-6030,Access
ORD-6031,Material Handling & Logistics
ORD-6032,Breakers & Drills
ORD-6033,Powered Access
ORD-6033,Access
ORD-6033,Lifting Equipment
ORD-6034,Mechanical & Electrical
ORD-6035,Plant
ORD-6035,Survey & Location
ORD-6035,Site Equipment & Groundworks
ORD-6035,Concreting & Compaction
ORD-6036,Mechanical & Electrical
ORD-6037,Material Handling & Logistics
ORD-6037,Lifting Equipment
ORD-6038,Fuel & Gas
ORD-6039,"Accommodation, Storage & Welfare"
ORD-6039,Fencing & Barriers
ORD-6040,"Safety, Ventilation & Extraction"
ORD-6040,Breakers & Drills
ORD-6041,Lifting Equipment
ORD-6042,Propping & Support
ORD-6042,"Safety, Ventilation & Extraction"
ORD-6042,Breakers & Drills
ORD-6042,Cutting & Grinding
ORD-6042,Plant
ORD-6043,Landscaping & Gardening
ORD-6043,Climate Control
ORD-6043,Fuel & Gas
ORD-6044,Fixing & Fastening
ORD-6044,Breakers & Drills
ORD-6044,Mechanical & Electrical
ORD-6045,Lifting Equipment
ORD-6045,Access
ORD-6045,Powered Access
ORD-6046,Cleaning
ORD-6046,Sanding & Woodworking
ORD-6046,Painting & Decorating
ORD-6047,Fixing & Fastening
ORD-6047,Breakers & Drills
ORD-6047,Mechanical & Electrical
ORD-6048,Power & Electrics
ORD-6048,"Accommodation, Storage & Welfare"
ORD-6049,Breakers & Drills
ORD-6049,Fixing & Fastening
ORD-6050,Plant
ORD-6050,Site Equipment & Groundworks
ORD-6050,Concreting & Compaction
ORD-6050,Survey & Location
ORD-6051,Powered Access
ORD-6051,Access
ORD-6051,Lifting Equipment
ORD-6052,Concreting & Compaction
ORD-6052,Site Equipment & Groundworks
ORD-6052,Survey & Location
ORD-6053,Plant
ORD-6053,Site Equipment & Groundworks
ORD-6054,Sanding & Woodworking
ORD-6054,Cleaning
ORD-6055,Lifting Equipment
ORD-6055,Material Handling & Logistics
ORD-6056,Cutting & Grinding
ORD-6056,Propping & Support
ORD-6056,Breakers & Drills
ORD-6056,"Safety, Ventilation & Extraction"
ORD-6057,Propping & Support
ORD-6057,"Safety, Ventilation & Extraction"
ORD-6058,Powered Access
ORD-6058,Access
ORD-6058,Sanding & Woodworking
ORD-6059,Painting & Decorating
ORD-6059,Cleaning
ORD-6059,Sanding & Woodworking
ORD-6060,Site Equipment & Groundworks
ORD-6060,Concreting & Compaction
ORD-6060,Breakers & Drills
ORD-6061,Powered Access
ORD-6061,Lifting Equipment
ORD-6061,Access
ORD-6062,Landscaping & Gardening
ORD-6062,Climate Control
ORD-6063,Mechanical & Electrical
ORD-6063,Fixing & Fastening
ORD-6063,Breakers & Drills
ORD-6064,Power & Electrics
ORD-6064,"Accommodation, Storage & Welfare"
ORD-6065,Fuel & Gas
ORD-6065,Landscaping & Gardening
ORD-6066,"Safety, Ventilation & Extraction"
ORD-6066,Breakers & Drills
ORD-6066,Propping & Support
ORD-6066,Cutting & Grinding
ORD-6067,Climate Control
ORD-6067,Cutting & Grinding
ORD-6068,Landscaping & Gardening
ORD-6069,Landscaping & Gardening
ORD-6069,Climate Control
ORD-6069,Fuel & Gas
ORD-6070,Painting & Decorating
ORD-6070,Cleaning
ORD-6070,Sanding & Woodworking
ORD-6071,Material Handling & Logistics
ORD-6071,Lifting Equipment
ORD-6072,Fuel & Gas
ORD-6072,Climate Control
ORD-6072,Power & Electrics
ORD-6073,"Safety, Ventilation & Extraction"
ORD-6074,Access
ORD-6074,Powered Access
ORD-6074,Lifting Equipment
ORD-6075,Lighting
ORD-6075,Power & Electrics
ORD-6076,Lifting Equipment
ORD-6076,Material Handling & Logistics
ORD-6077,Breakers & Drills
ORD-6077,Mechanical & Electrical
ORD-6078,Sanding & Woodworking
ORD-6078,Survey & Location
ORD-6079,Fuel & Gas
ORD-6079,Climate Control
ORD-6079,Landscaping & Gardening
ORD-6079,Painting & Decorating
ORD-6080,Lifting Equipment
ORD-6080,Access
ORD-6080,Powered Access
ORD-6081,Lifting Equipment
ORD-6081,Material Handling & Logistics
ORD-6082,Breakers & Drills
ORD-6082,Cutting & Grinding
ORD-6083,Powered Access
ORD-6083,Lifting Equipment
ORD-6084,Cutting & Grinding
ORD-6084,"Safety, Ventilation & Extraction"
ORD-6084,Propping & Support
ORD-6085,Survey & Location
ORD-6085,Plant
ORD-6085,Site Equipment & Groundworks
ORD-6085,Concreting & Compaction
ORD-6086,Material Handling & Logistics
ORD-6086,Lifting Equipment
ORD-6087,Cutting & Grinding
ORD-6087,"Safety, Ventilation & Extraction"
ORD-6088,Concreting & Compaction
ORD-6088,Plant
ORD-6088,Site Equipment & Groundworks
ORD-6088,Survey & Location
ORD-6089,Climate Control
ORD-6089,Fuel & Gas
ORD-6090,Climate Control
ORD-6091,Landscaping & Gardening
ORD-6091,Fuel & Gas
ORD-6091,Climate Control
ORD-6092,Lighting
ORD-6092,Power & Electrics
ORD-6092,"Accommodation, Storage & Welfare"
ORD-6092,Cleaning
ORD-6093,Concreting & Compaction
ORD-6093,Survey & Location
ORD-6093,Plant
ORD-6094,Survey & Location
ORD-6094,Plant
ORD-6094,Concreting & Compaction
ORD-6094,"Safety, Ventilation & Extraction"
ORD-6095,Sanding & Woodworking
ORD-6095,Painting & Decorating
ORD-6095,Cleaning
ORD-6096,Propping & Support
ORD-6096,Cutting & Grinding
ORD-6096,"Safety, Ventilation & Extraction"
ORD-6096,Breakers & Drills
ORD-6096,Access
ORD-6097,Lifting Equipment
ORD-6097,Powered Access
ORD-6097,Access
ORD-6098,Lifting Equipment
ORD-6098,Powered Access
ORD-6099,Propping & Support
ORD-6099,"Safety, Ventilation & Extraction"
ORD-6100,Propping & Support
ORD-6100,Breakers & Drills
ORD-6101,Cutting & Grinding
ORD-6101,Breakers & Drills
ORD-6101,Propping & Support
ORD-6101,"Safety, Ventilation & Extraction"
ORD-6101,Sanding & Woodworking
ORD-6102,Landscaping & Gardening
ORD-6102,Climate Control
ORD-6102,Lighting
ORD-6103,Fixing & Fastening
ORD-6103,Breakers & Drills
ORD-6103,Mechanical & Electrical
ORD-6104,Lifting Equipment
ORD-6104,Access
ORD-6104,Powered Access
ORD-6105,Landscaping & Gardening
ORD-6105,Fuel & Gas
ORD-6106,Painting & Decorating
ORD-6107,Cutting & Grinding
ORD-6107,Breakers & Drills
ORD-6107,"Safety, Ventilation & Extraction"
ORD-6108,Lifting Equipment
ORD-6108,Access
ORD-6109,Breakers & Drills
ORD-6109,Fixing & Fastening
ORD-6109,Mechanical & Electrical
ORD-6110,Powered Access
ORD-6110,Lifting Equipment
ORD-6110,Access
ORD-6111,Cleaning
ORD-6112,Sanding & Woodworking
ORD-6112,Painting & Decorating
ORD-6113,Lifting Equipment
ORD-6113,Powered Access
ORD-6114,Material Handling & Logistics
ORD-6114,Lifting Equipment
ORD-6115,Power & Electrics
ORD-6116,Material Handling & Logistics
ORD-6116,Lifting Equipment
ORD-6117,Fixing & Fastening
ORD-6118,"Accommodation, Storage & Welfare"
ORD-6118,Power & Electrics
ORD-6119,Lighting
ORD-6119,Fencing & Barriers
ORD-6120,Climate Control
ORD-6120,Fuel & Gas
ORD-6121,Concreting & Compaction
ORD-6121,Plant
ORD-6122,Material Handling & Logistics
ORD-6122,Lifting Equipment
ORD-6123,Fencing & Barriers
ORD-6123,"Accommodation, Storage & Welfare"
ORD-6124,Sanding & Woodworking
ORD-6124,Painting & Decorating
ORD-6124,Cleaning
ORD-6125,Fuel & Gas
ORD-6125,Climate Control
ORD-6125,Landscaping & Gardening
ORD-6125,Access
ORD-6126,Powered Access
ORD-6126,Lifting Equipment
ORD-6126,Access
ORD-6127,Lifting Equipment
ORD-6127,Access
ORD-6127,Powered Access
ORD-6128,Material Handling & Logistics
ORD-6128,Lifting Equipment
ORD-6129,Access
ORD-6129,Lifting Equipment
ORD-6129,Powered Access
ORD-6130,Material Handling & Logistics
ORD-6130,Lifting Equipment
ORD-6131,Powered Access
ORD-6131,Access
ORD-6131,Lifting Equipment
ORD-6132,Powered Access
ORD-6133,Breakers & Drills
ORD-6133,Mechanical & Electrical
ORD-6133,Fixing & Fastening
ORD-6134,Powered Access
ORD-6134,Lifting Equipment
ORD-6134,Access
ORD-6135,Concreting & Compaction
ORD-6135,Site Equipment & Groundworks
ORD-6136,Breakers & Drills
ORD-6136,Fixing & Fastening
ORD-6136,Mechanical & Electrical
ORD-6137,Fuel & Gas
ORD-6137,Climate Control
ORD-6137,Landscaping & Gardening
ORD-6138,Cutting & Grinding
ORD-6138,Propping & Support
ORD-6138,Breakers & Drills
ORD-6138,"Safety, Ventilation & Extraction"
ORD-6139,Fixing & Fastening
ORD-6139,Mechanical & Electrical
ORD-6139,Breakers & Drills
ORD-6140,Climate Control
ORD-6140,Landscaping & Gardening
ORD-6140,Fuel & Gas
ORD-6141,Fixing & Fastening
ORD-6141,Breakers & Drills
ORD-6141,Mechanical & Electrical
ORD-6142,Access
ORD-6142,Lifting Equipment
ORD-6143,Plant
ORD-6143,Survey & Location
ORD-6143,Site Equipment & Groundworks
ORD-6143,Concreting & Compaction
ORD-6144,Lifting Equipment
ORD-6144,Access
ORD-6144,Powered Access
ORD-6144,"Safety, Ventilation & Extraction"
ORD-6145,"Safety, Ventilation & Extraction"
ORD-6145,Cutting & Grinding
ORD-6146,Material Handling & Logistics
ORD-6146,Lifting Equipment
ORD-6147,Lifting Equipment
ORD-6147,Material Handling & Logistics
ORD-6148,Climate Control
ORD-6148,Fuel & Gas
ORD-6148,Site Equipment & Groundworks
ORD-6149,Fixing & Fastening
ORD-6149,Breakers & Drills
ORD-6149,Mechanical & Electrical
ORD-6150,Fuel & Gas
ORD-6150,Climate Control
ORD-6150,Fixing & Fastening
ORD-6151,Power & Electrics
ORD-6151,Fencing & Barriers
ORD-6152,Survey & Location
ORD-6153,Cleaning
ORD-6153,Sanding & Woodworking
ORD-6153,Painting & Decorating
ORD-6154,Breakers & Drills
ORD-6154,Fixing & Fastening
ORD-6154,Mechanical & Electrical
ORD-6155,Fencing & Barriers
ORD-6155,Power & Electrics
ORD-6156,Sanding & Woodworking
ORD-6156,Cleaning
ORD-6156,Painting & Decorating
ORD-6157,Fuel & Gas
ORD-6158,Access
ORD-6158,Powered Access
ORD-6159,Powered Access
ORD-6159,Access
ORD-6160,Access
ORD-6160,Lifting Equipment
ORD-6160,Powered Access
ORD-6161,Material Handling & Logistics
ORD-6161,Lifting Equipment
ORD-6162,Access
ORD-6162,Powered Access
ORD-6162,Lifting Equipment
ORD-6163,Cutting & Grinding
ORD-6163,Breakers & Drills
