order_id,site,customer_type,order_date,project_cluster,basket_size,order_value_gbp,funnel_stage_reached
ORD-6001,Site-150,Main Contractor,2026-01-31,Landscaping,2,2631.29,Quote Requested
ORD-6002,Site-058,Facilities Management,2026-06-01,Site Setup,2,3541.79,Quote Requested
ORD-6003,Site-108,Groundworks Sub-contractor,2025-09-23,Finishing,1,1272.19,Quote Requested
ORD-6004,Site-016,Landscaping Contractor,2025-09-26,Access & Height,3,3194.18,Returned / Completed
ORD-6005,Site-088,Facilities Management,2026-02-05,Site Setup,4,4038.71,Returned / Completed
ORD-6006,Site-143,Landscaping Contractor,2026-04-22,Fixing,3,4474.09,Quote Requested
ORD-6007,Site-180,Demolition Specialist,2026-01-17,Finishing,3,5513.54,Returned / Completed
ORD-6008,Site-074,Groundworks Sub-contractor,2026-02-20,Logistics,3,4687.22,Returned / Completed
ORD-6009,Site-060,Groundworks Sub-contractor,2025-11-03,Groundworks,2,833.25,Returned / Completed
ORD-6010,Site-132,Landscaping Contractor,2025-08-12,Demolition,3,4279.82,Returned / Completed
ORD-6011,Site-029,Demolition Specialist,2025-08-01,Fixing,3,3105.18,Returned / Completed
ORD-6012,Site-032,Main Contractor,2025-10-14,Groundworks,2,4080.92,Returned / Completed
ORD-6013,Site-136,Demolition Specialist,2025-11-19,Site Setup,2,1753.35,Returned / Completed
ORD-6014,Site-137,Landscaping Contractor,2026-07-02,Fixing,2,2599.61,Returned / Completed
ORD-6015,Site-092,Facilities Management,2026-03-23,Logistics,2,474.97,Returned / Completed
ORD-6016,Site-053,M&E Contractor,2026-02-22,Site Setup,2,3439.24,Returned / Completed
ORD-6017,Site-163,Demolition Specialist,2026-07-15,Site Setup,3,4084.57,Returned / Completed
ORD-6018,Site-122,Facilities Management,2025-11-20,Site Setup,5,5874.09,Returned / Completed
ORD-6019,Site-151,Demolition Specialist,2025-08-17,Groundworks,3,2175.09,Returned / Completed
ORD-6020,Site-113,Self-Employed Trade,2026-01-15,Landscaping,3,2532.15,Returned / Completed
ORD-6021,Site-144,Main Contractor,2026-04-18,Groundworks,3,3161.3,Returned / Completed
ORD-6022,Site-137,Self-Employed Trade,2025-10-29,Site Setup,1,1145.63,Returned / Completed
ORD-6023,Site-101,M&E Contractor,2026-03-11,Logistics,2,2354.01,Returned / Completed
ORD-6024,Site-125,Groundworks Sub-contractor,2025-12-08,Groundworks,4,5598.91,Returned / Completed
ORD-6025,Site-142,M&E Contractor,2025-10-25,Site Setup,2,1286.25,Quote Requested
ORD-6026,Site-011,Self-Employed Trade,2026-01-27,Finishing,2,2253.4,Returned / Completed
ORD-6027,Site-177,Groundworks Sub-contractor,2025-12-11,Fixing,4,4902.45,Returned / Completed
ORD-6028,Site-034,Main Contractor,2026-03-04,Groundworks,4,2813.23,Returned / Completed
ORD-6029,Site-065,Main Contractor,2026-06-20,Demolition,4,3727.64,On Hire
ORD-6030,Site-056,Groundworks Sub-contractor,2025-11-14,Access & Height,2,2733.48,Returned / Completed
ORD-6031,Site-161,Facilities Management,2025-07-19,Logistics,1,1957.31,Quote Approved
ORD-6032,Site-048,Groundworks Sub-contractor,2025-12-07,Demolition,1,723.45,Quote Approved
ORD-6033,Site-098,Main Contractor,2026-07-14,Access & Height,3,2920.34,On Hire
ORD-6034,Site-006,Demolition Specialist,2025-10-30,Fixing,1,794.57,Quote Requested
ORD-6035,Site-038,Main Contractor,2026-03-18,Groundworks,4,5733.83,Returned / Completed
ORD-6036,Site-059,Main Contractor,2025-07-22,Fixing,1,242.94,Returned / Completed
ORD-6037,Site-126,Demolition Specialist,2026-05-08,Logistics,2,1978.04,Returned / Completed
ORD-6038,Site-053,Groundworks Sub-contractor,2025-10-31,Landscaping,1,1674.45,Returned / Completed
ORD-6039,Site-066,Facilities Management,2025-11-22,Site Setup,2,2476.22,Returned / Completed
