stock_code,category,subcategory,product_name,brand,depot,purchase_date,capex_gbp,book_value_gbp,age_years,condition,status,utilisation_pct_ytd,day_rate_gbp,last_service_date,next_service_due,min_stock_level,current_units_at_depot
P-01001,Plant,Excavators,Micro Excavator 0.8t,City Hire Fleet,Leeds,2025-10-30,9425.61,8093.11,0.71,Fair,Available,61.4,83.6,2026-01-22,2026-07-21,1,1
P-01002,Plant,Excavators,Micro Excavator 0.8t,City Hire Fleet,Bristol,2024-02-02,9811.61,5005.27,2.45,Good,On Hire,72.8,133.56,2026-05-16,2026-11-12,1,1
P-01003,Plant,Excavators,Micro Excavator 0.8t,City Hire Fleet,London North,2022-06-10,45043.41,8120.15,4.1,Fair,On Hire,53.5,432.26,2025-12-19,2026-06-17,1,1
P-01004,Plant,Excavators,Micro Excavator 0.8t,City Hire Fleet,Birmingham,2024-02-01,27394.28,13959.82,2.45,Excellent,On Hire,60.2,323.23,2025-12-31,2026-06-29,1,1
P-01005,Plant,Excavators,Micro Excavator 0.8t,City Hire Fleet,London North,2024-06-10,56307.18,32704.44,2.1,Needs Assessment,Available,42.8,663.6,2026-02-27,2026-08-26,1,1
P-01006,Plant,Excavators,Micro Excavator 0.8t,City Hire Fleet,Bristol,2023-05-12,24711.16,9004.34,3.18,Excellent,Available,47.6,214.88,2026-04-13,2026-10-10,1,1
P-01007,Plant,Excavators,5 Ton Excavator,City Hire Fleet,Birmingham,2025-03-06,52064.9,37914.66,1.36,Good,Workshop,90.4,850.8,2026-04-08,2026-10-05,1,1
P-01008,Plant,Excavators,5 Ton Excavator,City Hire Fleet,Leeds,2025-07-17,29100.32,23312.15,0.99,Needs Assessment,On Hire,60.4,421.38,2026-05-07,2026-11-03,1,1
P-01009,Plant,Excavators,5 Ton Excavator,City Hire Fleet,Leeds,2023-01-15,44193.76,13270.24,3.5,Good,On Hire,52.7,450.61,2026-05-06,2026-11-02,1,1
P-01010,Plant,Excavators,5 Ton Excavator,City Hire Fleet,London North,2024-08-20,56042.56,34731.03,1.9,Fair,Available,60.8,673.16,2026-05-17,2026-11-13,1,1
P-01011,Plant,Excavators,5 Ton Excavator,City Hire Fleet,Manchester,2026-01-31,20026.02,18215.45,0.45,Good,On Hire,89.8,343.36,2026-01-28,2026-07-27,1,1
P-01012,Plant,Excavators,5 Ton Excavator,City Hire Fleet,Bristol,2023-11-19,16143.68,7572.05,2.65,Good,On Hire,53.0,249.74,2026-01-05,2026-07-04,1,1
P-01013,Plant,Excavators,Mini Excavator 1.7t,City Hire Fleet,London North,2023-03-08,30765.83,10114.79,3.36,Fair,On Hire,72.3,293.15,2026-06-21,2026-12-18,1,1
P-01014,Plant,Excavators,Mini Excavator 1.7t,City Hire Fleet,Manchester,2025-07-23,53148.52,42751.8,0.98,Good,On Hire,98,954.61,2026-06-28,2026-12-25,1,1
P-01015,Plant,Excavators,Mini Excavator 1.7t,City Hire Fleet,Leeds,2023-06-28,22330.6,8711.99,3.05,Fair,Available,31.4,346.32,2026-06-15,2026-12-12,1,1
P-01016,Plant,Excavators,Mini Excavator 1.7t,City Hire Fleet,London South,2022-02-22,44534.82,5392.98,4.39,Good,On Hire,52.0,781.06,2026-03-25,2026-09-21,1,1
P-01017,Plant,Excavators,13 Ton Excavator,City Hire Fleet,Birmingham,2024-12-23,63397.62,43631.46,1.56,Fair,On Hire,64.3,829.03,2026-02-04,2026-08-03,1,1
P-01018,Plant,Excavators,13 Ton Excavator,City Hire Fleet,Bristol,2025-05-04,16711.84,12710.16,1.2,Fair,Available,46.4,233.79,2026-02-26,2026-08-25,1,1
P-01019,Plant,Excavators,13 Ton Excavator,City Hire Fleet,London South,2023-09-19,9110.17,3968.54,2.82,Excellent,Workshop,89.0,152.87,2026-04-27,2026-10-24,1,1
P-01020,Plant,Excavators,13 Ton Excavator,City Hire Fleet,Bristol,2026-01-05,12882.25,11534.03,0.52,Fair,On Hire,50.6,119.6,2026-06-27,2026-12-24,1,1
P-01021,Plant,Excavators,13 Ton Excavator,City Hire Fleet,Bristol,2023-10-16,61970.37,27912.13,2.75,Fair,On Hire,71.7,923.28,2026-05-21,2026-11-17,1,1
P-01022,Plant,Excavators,13 Ton Excavator,City Hire Fleet,Birmingham,2022-06-16,25767.83,4729.99,4.08,Good,Auction Pending,77.8,339.51,2026-01-29,2026-07-28,1,1
P-01023,Plant,Excavators,Micro Excavator 1t,City Hire Fleet,London North,2025-01-24,20807.75,14685.14,1.47,Excellent,On Hire,53.2,297.78,2026-05-19,2026-11-15,1,1
P-01024,Plant,Excavators,Hydraulic Breaker Excavator Attachment,City Hire Fleet,Bristol,2026-01-28,59608.94,54121.65,0.46,Excellent,Workshop,78.9,875.64,2026-06-26,2026-12-23,1,1
P-01025,Plant,Excavators,Hydraulic Breaker Excavator Attachment,City Hire Fleet,Manchester,2025-04-03,38736.33,28802.85,1.28,Fair,On Hire,58.2,383.65,2026-05-13,2026-11-09,1,1
P-01026,Plant,Excavators,3 Ton Excavator,City Hire Fleet,Leeds,2022-10-05,32569.92,7959.55,3.78,Excellent,On Hire,34.4,473.39,2026-03-17,2026-09-13,1,1
