antecedent,consequent,support,confidence,lift,co_occurrences,antecedent_orders
Propping & Support,Cutting & Grinding,0.0432,0.5729,7.48,216,377
Cutting & Grinding,Propping & Support,0.0432,0.564,7.48,216,383
Fixing & Fastening,Mechanical & Electrical,0.0738,0.7485,7.367,369,493
Mechanical & Electrical,Fixing & Fastening,0.0738,0.7264,7.367,369,508
"Safety, Ventilation & Extraction",Cutting & Grinding,0.0438,0.5558,7.256,219,394
Cutting & Grinding,"Safety, Ventilation & Extraction",0.0438,0.5718,7.256,219,383
"Safety, Ventilation & Extraction",Propping & Support,0.0428,0.5431,7.204,214,394
Propping & Support,"Safety, Ventilation & Extraction",0.0428,0.5676,7.204,214,377
Lighting,"Accommodation, Storage & Welfare",0.0458,0.5917,7.147,229,387
"Accommodation, Storage & Welfare",Lighting,0.0458,0.5531,7.147,229,414
Fencing & Barriers,"Accommodation, Storage & Welfare",0.048,0.5911,7.139,240,406
"Accommodation, Storage & Welfare",Fencing & Barriers,0.048,0.5797,7.139,240,414
Cleaning,Sanding & Woodworking,0.0724,0.7388,7.131,362,490
Sanding & Woodworking,Cleaning,0.0724,0.6988,7.131,362,518
Lighting,Fencing & Barriers,0.0446,0.5762,7.096,223,387
Fencing & Barriers,Lighting,0.0446,0.5493,7.096,223,406
Cleaning,Painting & Decorating,0.07,0.7143,7.003,350,490
Painting & Decorating,Cleaning,0.07,0.6863,7.003,350,510
Sanding & Woodworking,Painting & Decorating,0.0734,0.7085,6.946,367,518
Painting & Decorating,Sanding & Woodworking,0.0734,0.7196,6.946,367,510
Power & Electrics,Fencing & Barriers,0.0458,0.5572,6.862,229,411
Fencing & Barriers,Power & Electrics,0.0458,0.564,6.862,229,406
Lighting,Power & Electrics,0.0434,0.5607,6.821,217,387
Power & Electrics,Lighting,0.0434,0.528,6.821,217,411
Access,Powered Access,0.0766,0.7394,6.821,383,518
Powered Access,Access,0.0766,0.7066,6.821,383,542
Power & Electrics,"Accommodation, Storage & Welfare",0.046,0.5596,6.759,230,411
"Accommodation, Storage & Welfare",Power & Electrics,0.046,0.5556,6.759,230,414
Survey & Location,Site Equipment & Groundworks,0.0578,0.6033,6.544,289,479
Site Equipment & Groundworks,Survey & Location,0.0578,0.6269,6.544,289,461
Plant,Concreting & Compaction,0.0528,0.5893,6.405,264,448
Concreting & Compaction,Plant,0.0528,0.5739,6.405,264,460
Survey & Location,Plant,0.0542,0.5658,6.314,271,479
Plant,Survey & Location,0.0542,0.6049,6.314,271,448
Concreting & Compaction,Site Equipment & Groundworks,0.0532,0.5783,6.272,266,460
Site Equipment & Groundworks,Concreting & Compaction,0.0532,0.577,6.272,266,461
Survey & Location,Concreting & Compaction,0.055,0.5741,6.24,275,479
Concreting & Compaction,Survey & Location,0.055,0.5978,6.24,275,460
Site Equipment & Groundworks,Plant,0.0512,0.5553,6.198,256,461
Plant,Site Equipment & Groundworks,0.0512,0.5714,6.198,256,448
Climate Control,Fuel & Gas,0.0852,0.7172,6.14,426,594
Fuel & Gas,Climate Control,0.0852,0.7295,6.14,426,584
Landscaping & Gardening,Climate Control,0.0882,0.7218,6.075,441,611
Climate Control,Landscaping & Gardening,0.0882,0.7424,6.075,441,594
Fuel & Gas,Landscaping & Gardening,0.0854,0.7312,5.983,427,584
